Name
Gardner_Jared
Hsia_Jiao_Jenny
Iwatani_Toru
Kurtin_Ben
Lemarchand_Richard
Masuda_Junichi
Mechner_Jordan
Meier_Sid
Minkoff_Jacob
Moldenhauer_Chad
Molyneux_Peter
Pajitnov_Alexey
Persson_Markus
Pope_Lucas
Romero_John
Sakurai_Masashiro
Schafer_Tim
Shigeru_Miyamoto
Straker_Lao
Straley_Bruce
Suzuki_Yu
Teikari_Arvi
Wright_Will
